detention_facility,state,correct
ADAMS COUNTY,WA,
ANCHORAGE JAIL,AK,
BELLINGHAM BPS ERO HOLDROOM,WA,
CHELAN CO. REGIONAL JAIL,WA,
COLUMBIA COUNTY JAIL,OR,
"COOK INLET PRETRIAL, ANCH",AK,
COWLITZ CO. JUV. DET.,WA,
DOUGLAS CO. JAIL,OR,
ECONOLODGE MOTEL,WA,
EUGENE HOLDROOM,OR,
FAIRBANKS CORR CTR,AK,
HIGHLAND MTN COR CTR,AK,
JACKSON CO JAIL,OR,
JOSEPHINE CO. JAIL,OR,
KETCHIKAN REGIONAL CC,AK,
KITTITAS COUNTY JAIL,WA,
KLAMATH CO JAIL,OR,
KODIAK CITY JAIL,AK,
"LEMON CREEK, JUNEAU,AK",AK,
LINN CO JAIL,OR,
MARION CO JAIL,OR,
MEDFORD SUB-OFFICE,OR,
NORTHERN OREGON CORR.FAC.,OR,
NORTHERN OREGON JUV.DET.,OR,
NORTHWEST DET. CENTER,WA,
OKANOGAN CO. JAIL,WA,
PALMER CORRECTIONAL CENTE,AK,
PORTLAND DISTRICT OFFICE,OR,
RED ROOF INN,WA,
SEATAC FED.DET.CENTER,WA,
SEATTLE FIELD OFFICE HOLD ROOM,WA,
"SITKA CITY JAIL, SITKA AK",AK,
SPRINGFIELD CITY JAIL,OR,
STEVENS COUNTY JAIL,WA,
SUNNYSIDE JAIL,WA,
TACOMA ICE PROCESSING CENTER,WA,
UMATILLA CO JAIL,OR,
WILDWOOD PRE-TRIAL FAC.,AK,
WILDWOOD STATE CORR. CTR.,AK,
YAKIMA COUNTY,WA,
YAKIMA SUB-OFFICE,WA,